Number of solution;Date of solution;Another date;I dont know how to translate;Name of solution
3/4;1992-05-25;1992-05-25;;План работы ГКРЧ на III квартал 1992 года                                                  
3/3;1992-05-25;1992-05-25;;О результатах НИР "Диалог-89"                                                              
25-ОР;1992-05-26;1992-05-26;;РЭС сотовых сетей                                                                        
25-ОР;1992-05-26;1992-05-26;;РЭС сотовых сетей                                                                        
26-ОР;1992-05-28;1992-05-28;;РЭС телевизионного вещания                                                               
26-ОР;1992-05-28;1992-05-28;;РЭС телевизионного вещания                                                               
27-ОР;1992-05-29;1992-05-29;;РЭС сухопутной подвижной службы                                                          
28-ОР;1992-05-29;1992-05-29;;РЭС сотовых сетей                                                                        
28-ОР;1992-05-29;1992-05-29;;РЭС сотовых сетей                                                                        
27-ОР;1992-05-29;1992-05-29;;РЭС сухопутной подвижной службы                                                          
29-ОР;1992-06-01;1992-06-01;;РЭС беспроводного доступа ФС                                                             
29-ОР;1992-06-01;1992-06-01;;РЭС беспроводного доступа ФС                                                             
6-ОП;1992-06-03;1992-06-03;;                                                                                          
7-ОП;1992-06-03;1992-06-03;;                                                                                          
7-ОП;1992-06-03;1992-06-03;;                                                                                          
8-ОП;1992-06-03;1992-06-03;;                                                                                          
8-ОП;1992-06-03;1992-06-03;;                                                                                          
6-ОП;1992-06-03;1992-06-03;;                                                                                          
30-ОР;1992-06-03;1992-06-03;;РЭС сухопутной подвижной службы                                                          
30-ОР;1992-06-03;1992-06-03;;РЭС сухопутной подвижной службы                                                          
33-ОР;1992-06-04;1992-06-04;;РЭС сухопутной подвижной службы                                                          
31-ОР;1992-06-04;1992-06-04;1993-05-01;РЭС сухопутной подвижной службы                                                
31-ОР;1992-06-04;1992-06-04;1993-05-01;РЭС сухопутной подвижной службы                                                
33-ОР;1992-06-04;1992-06-04;;РЭС сухопутной подвижной службы                                                          
32-ОР;1992-06-05;1992-06-05;;РЭС радиорелейных систем                                                                 
32-ОР;1992-06-05;1992-06-05;;РЭС радиорелейных систем                                                                 
9-ОП;1992-06-08;1992-06-08;;                                                                                          
9-ОП;1992-06-08;1992-06-08;;                                                                                          
34-ОР;1992-06-11;1992-06-11;;РЭС радиорелейных систем                                                                 
35-ОР;1992-06-11;1992-06-11;;РЭС радиолокационные                                                                     
35-ОР;1992-06-11;1992-06-11;;РЭС радиолокационные                                                                     
34-ОР;1992-06-11;1992-06-11;;РЭС радиорелейных систем                                                                 
36-ОР;1992-06-16;1992-06-16;;РЭС сухопутной подвижной службы                                                          
38-ОР;1992-06-16;1992-06-16;;РЭС радиорелейных систем                                                                 
36-ОР;1992-06-16;1992-06-16;;РЭС сухопутной подвижной службы                                                          
38-ОР;1992-06-16;1992-06-16;;РЭС радиорелейных систем                                                                 
42-ОР;1992-06-19;1992-06-19;;РЭС телевизионного вещания                                                               
42-ОР;1992-06-19;1992-06-19;;РЭС телевизионного вещания                                                               
37-ОР;1992-06-22;1992-06-22;;РЭС систем поискового радиовызова                                                        
37-ОР;1992-06-22;1992-06-22;;РЭС систем поискового радиовызова                                                        
40-ОР;1992-06-23;1992-06-23;;РЭС радиотелеметрии                                                                      
40-ОР;1992-06-23;1992-06-23;;РЭС радиотелеметрии                                                                      
43-ОР;1992-06-24;1992-06-24;;РЭС оповещения и сигнализации                                                            
43-ОР;1992-06-24;1992-06-24;;РЭС оповещения и сигнализации                                                            
44-ОР;1992-06-25;1992-06-25;;ультразвуковой ингалятор                                                                 
45-ОР;1992-06-25;1992-06-25;;РЭС морской радионавигации                                                               
45-ОР;1992-06-25;1992-06-25;;РЭС морской радионавигации                                                               
44-ОР;1992-06-25;1992-06-25;;ультразвуковой ингалятор                                                                 
39-ОР;1992-06-26;1992-06-26;;РЭС сухопутной подвижной службы                                                          
39-ОР;1992-06-26;1992-06-26;;РЭС сухопутной подвижной службы                                                          
4/1;1992-06-29;1992-06-29;1992-07-01;Об утверждении Положения по МПЗ                                                  
4/4;1992-06-29;1992-06-29;;Об итогах ВАКР-92                                                                          
4/2;1992-06-29;1992-06-29;;О подготовке международного симпозиума по ЭМС                                              
4/4;1992-06-29;1992-06-29;;Об итогах ВАКР-92                                                                          
4/3;1992-06-29;1992-06-29;1992-10-01;Об уточнении Положения о ЕССИИ                                                   
4/1;1992-06-29;1992-06-29;1992-07-01;Об утверждении Положения по МПЗ                                                  
4/3;1992-06-29;1992-06-29;1992-10-01;Об уточнении Положения о ЕССИИ                                                   
4/5;1992-06-29;1992-06-29;;О Комплексной программе конверсии РЧС                                                      
4/6;1992-06-29;1992-06-29;;Об использовании р/частот для разработки системы "СПС-спутник"                             
4/2;1992-06-29;1992-06-29;;О подготовке международного симпозиума по ЭМС                                              
4/5;1992-06-29;1992-06-29;;О Комплексной программе конверсии РЧС                                                      
4/6;1992-06-29;1992-06-29;;Об использовании р/частот для разработки системы "СПС-спутник"                             
10-ОП;1992-07-03;1992-07-03;;                                                                                         
10-ОП;1992-07-03;1992-07-03;;                                                                                         
4/7;1992-07-06;1992-07-06;;О Таблице распределения полос радиочастот                                                  
4/7;1992-07-06;1992-07-06;;О Таблице распределения полос радиочастот                                                  
46-ОР;1992-07-07;1992-07-07;;РЭС систем поискового радиовызова                                                        
11-ОП;1992-07-07;1992-07-07;;                                                                                         
12-ОП;1992-07-07;1992-07-07;;                                                                                         
11-ОП;1992-07-07;1992-07-07;;                                                                                         
46-ОР;1992-07-07;1992-07-07;;РЭС систем поискового радиовызова                                                        
12-ОП;1992-07-07;1992-07-07;;                                                                                         
13-ОП;1992-07-08;1992-07-08;;                                                                                         
13-ОП;1992-07-08;1992-07-08;;                                                                                         
49-ОР;1992-07-09;1992-07-09;;РЭС радиорелейных систем                                                                 
49-ОР;1992-07-09;1992-07-09;;РЭС радиорелейных систем                                                                 
41-ОР;1992-07-13;1992-07-13;;РЭС оповещения и сигнализации                                                            
47-ОР;1992-07-13;1992-07-13;;РЭС радиорелейных систем                                                                 
48-ОР;1992-07-13;1992-07-13;;РЭС сухопутной подвижной службы                                                          
53-ОР;1992-07-13;1992-07-13;;РЭС радиорелейных систем                                                                 
50-ОР;1992-07-13;1992-07-13;;РЭС радиорелейных систем                                                                 
53-ОР;1992-07-13;1992-07-13;;РЭС радиорелейных систем                                                                 
50-ОР;1992-07-13;1992-07-13;;РЭС радиорелейных систем                                                                 
41-ОР;1992-07-13;1992-07-13;;РЭС оповещения и сигнализации                                                            
47-ОР;1992-07-13;1992-07-13;;РЭС радиорелейных систем                                                                 
48-ОР;1992-07-13;1992-07-13;;РЭС сухопутной подвижной службы                                                          
15-ОП;1992-07-14;1992-07-14;;                                                                                         
54-ОР;1992-07-14;1992-07-14;;РЭС радиорелейных систем                                                                 
51-ОР;1992-07-14;1992-07-14;;РЭС оповещения и сигнализации                                                            
